count,msg_size,avg,min,maximum,nnode,ppn,cl,sharp
1,4,6.17,6.13,6.19,4,1,basic,no-sharp
2,8,7.4,7.37,7.45,4,1,basic,no-sharp
4,16,7.36,7.34,7.39,4,1,basic,no-sharp
8,32,7.39,7.38,7.41,4,1,basic,no-sharp
16,64,7.84,7.8,7.87,4,1,basic,no-sharp
32,128,8.25,8.19,8.28,4,1,basic,no-sharp
64,256,10.48,10.46,10.5,4,1,basic,no-sharp
128,512,11.0,10.95,11.04,4,1,basic,no-sharp
256,1024,11.3,11.29,11.34,4,1,basic,no-sharp
512,2048,12.26,12.21,12.3,4,1,basic,no-sharp
1024,4096,14.04,13.94,14.1,4,1,basic,no-sharp
2048,8192,18.92,18.84,19.04,4,1,basic,no-sharp
4096,16384,25.43,25.38,25.51,4,1,basic,no-sharp
8192,32768,38.64,38.51,38.83,4,1,basic,no-sharp
16384,65536,65.53,65.28,65.73,4,1,basic,no-sharp
32768,131072,114.65,114.21,114.95,4,1,basic,no-sharp
65536,262144,208.55,208.07,208.91,4,1,basic,no-sharp
131072,524288,403.41,402.48,403.88,4,1,basic,no-sharp
262144,1048576,780.52,778.86,782.72,4,1,basic,no-sharp
524288,2097152,1531.77,1522.9,1548.73,4,1,basic,no-sharp
1048576,4194304,3065.21,3043.49,3096.68,4,1,basic,no-sharp
2097152,8388608,8248.17,8174.81,8302.65,4,1,basic,no-sharp
4194304,16777216,26848.45,26635.23,27073.83,4,1,basic,no-sharp
8388608,33554432,53954.32,53573.13,54318.0,4,1,basic,no-sharp
16777216,67108864,106838.99,105503.12,108094.96,4,1,basic,no-sharp
1,4,2.76,2.74,2.77,4,1,basic,llt-arw
2,8,2.76,2.76,2.77,4,1,basic,llt-arw
4,16,2.8,2.78,2.82,4,1,basic,llt-arw
8,32,2.88,2.87,2.88,4,1,basic,llt-arw
16,64,3.42,3.4,3.46,4,1,basic,llt-arw
32,128,3.89,3.85,3.92,4,1,basic,llt-arw
64,256,4.16,4.15,4.19,4,1,basic,llt-arw
128,512,5.02,4.98,5.05,4,1,basic,llt-arw
256,1024,6.1,6.05,6.14,4,1,basic,llt-arw
512,2048,8.02,7.96,8.07,4,1,basic,llt-arw
1024,4096,15.48,15.44,15.54,4,1,basic,llt-arw
2048,8192,29.07,29.01,29.14,4,1,basic,llt-arw
4096,16384,56.4,56.34,56.45,4,1,basic,llt-arw
8192,32768,109.22,109.02,109.43,4,1,basic,llt-arw
16384,65536,214.93,213.91,215.4,4,1,basic,llt-arw
32768,131072,426.33,425.17,426.75,4,1,basic,llt-arw
65536,262144,853.65,853.48,853.8,4,1,basic,llt-arw
131072,524288,1687.97,1687.84,1688.03,4,1,basic,llt-arw
262144,1048576,3371.85,3371.65,3372.01,4,1,basic,llt-arw
524288,2097152,6726.68,6726.26,6727.11,4,1,basic,llt-arw
1048576,4194304,13482.61,13481.95,13484.0,4,1,basic,llt-arw
2097152,8388608,29838.02,29836.72,29839.34,4,1,basic,llt-arw
1,4,2.73,2.71,2.75,4,1,basic,sat-nr
2,8,2.74,2.72,2.75,4,1,basic,sat-nr
4,16,2.78,2.77,2.79,4,1,basic,sat-nr
8,32,2.88,2.88,2.89,4,1,basic,sat-nr
16,64,5.22,5.21,5.25,4,1,basic,sat-nr
32,128,5.29,5.29,5.3,4,1,basic,sat-nr
64,256,5.93,5.16,6.63,4,1,basic,sat-nr
128,512,6.05,5.27,6.79,4,1,basic,sat-nr
256,1024,6.23,5.56,6.57,4,1,basic,sat-nr
512,2048,6.82,6.0,7.22,4,1,basic,sat-nr
1024,4096,7.22,6.1,7.84,4,1,basic,sat-nr
2048,8192,8.18,7.2,9.19,4,1,basic,sat-nr
4096,16384,10.5,9.8,11.78,4,1,basic,sat-nr
8192,32768,15.87,15.07,17.24,4,1,basic,sat-nr
16384,65536,27.6,26.93,29.34,4,1,basic,sat-nr
32768,131072,51.09,50.41,52.55,4,1,basic,sat-nr
65536,262144,97.87,97.15,99.55,4,1,basic,sat-nr
131072,524288,220.19,219.47,221.69,4,1,basic,sat-nr
262144,1048576,438.43,437.77,440.21,4,1,basic,sat-nr
524288,2097152,880.36,879.59,882.39,4,1,basic,sat-nr
1048576,4194304,1782.87,1781.62,1784.74,4,1,basic,sat-nr
2097152,8388608,3658.13,3657.2,3660.58,4,1,basic,sat-nr
4194304,16777216,7515.46,7514.47,7518.01,4,1,basic,sat-nr
8388608,33554432,15244.79,15243.86,15247.36,4,1,basic,sat-nr
16777216,67108864,30575.65,30574.67,30578.02,4,1,basic,sat-nr
1,4,2.67,2.66,2.67,4,1,basic,sat-arw
2,8,2.71,2.7,2.71,4,1,basic,sat-arw
4,16,2.75,2.75,2.76,4,1,basic,sat-arw
8,32,2.87,2.87,2.88,4,1,basic,sat-arw
16,64,3.41,3.39,3.43,4,1,basic,sat-arw
32,128,3.87,3.86,3.89,4,1,basic,sat-arw
64,256,4.16,4.12,4.2,4,1,basic,sat-arw
128,512,5.01,5.0,5.02,4,1,basic,sat-arw
256,1024,6.07,6.05,6.11,4,1,basic,sat-arw
512,2048,8.0,7.96,8.06,4,1,basic,sat-arw
1024,4096,7.67,7.61,7.72,4,1,basic,sat-arw
2048,8192,9.26,9.24,9.3,4,1,basic,sat-arw
4096,16384,14.04,14.01,14.08,4,1,basic,sat-arw
8192,32768,21.16,21.1,21.25,4,1,basic,sat-arw
16384,65536,37.3,37.17,37.41,4,1,basic,sat-arw
32768,131072,69.83,69.79,69.9,4,1,basic,sat-arw
65536,262144,136.82,136.72,136.94,4,1,basic,sat-arw
131072,524288,300.25,299.64,300.9,4,1,basic,sat-arw
262144,1048576,573.97,570.42,577.25,4,1,basic,sat-arw
524288,2097152,1157.84,1150.07,1168.72,4,1,basic,sat-arw
1048576,4194304,2364.04,2339.04,2379.93,4,1,basic,sat-arw
2097152,8388608,11590.08,11566.16,11603.02,4,1,basic,sat-arw
4194304,16777216,7504.96,7504.01,7507.45,4,1,basic,sat-arw
8388608,33554432,15230.52,15229.5,15233.02,4,1,basic,sat-arw
16777216,67108864,30634.85,30633.92,30637.4,4,1,basic,sat-arw
1,4,13.41,13.21,13.62,8,1,basic,no-sharp
2,8,17.41,17.18,17.56,8,1,basic,no-sharp
4,16,17.24,17.07,17.4,8,1,basic,no-sharp
8,32,17.26,17.13,17.38,8,1,basic,no-sharp
16,64,18.35,18.08,18.54,8,1,basic,no-sharp
